,Mario Andretti
0,>Michael Ignatieff
1,>Jared Padalecki
2,>Aaron Schock
3,>Robert Falcon Scott
4,>Donna Brazile
5,>Olly Murs
6,>Jimmy Carl Black
7,>John Poindexter
8,>Saint Augustine
9,>Regina Brett
10,>Ryan Bethencourt
11,>Carol W. Greider
12,>Helmut Jahn
13,>Naveen Jain
14,>Alana Stewart
15,>Antonio Porchia
16,>Ethel Barrymore
17,>Ron White
18,>George Bernard Shaw
19,>Wayne Dyer
20,>Aristotle
21,>Fabrizio Moreira
22,>Dan Buettner
23,>Stephen Gardiner
24,>James Madison
25,>Edmund Burke
26,>Colin R. Davis
27,>Emil Ludwig
28,>Jim Harrison
29,>Tracey Emin
30,>John Rampton
31,>Regis Philbin
32,>Judy Collins
33,>William Samuel Johnson
34,>Billy Ray Cyrus
35,>Bradley Chicho
36,>Karlie Kloss
37,>Brock Osweiler
38,>Montel Williams
39,>Katy Perry
40,>Andrew Cuomo
41,>Kyle Chandler
42,>George Bernard Shaw
43,>Frank Lloyd Wright
44,>Tom Watson
45,>Marla Gibbs
46,>Nicole Ari Parker
47,>Emily Dickinson
48,>Barack Obama
49,>Janet Fitch
50,>Andrew Mason
51,>Sienna Miller
52,>Les Brown
53,>John Wooden
54,>Henry Adams
55,>Guy Laliberte
56,>Britney Spears
57,>David Hasselhoff
58,>Bidzina Ivanishvili
59,>Mike Gallagher
60,>E. F. Benson
61,>Xenophon
62,>Bruce Springsteen
63,>Sebastian Thrun
64,>Ben Bernanke
65,>Malcolm Turnbull
66,>Havelock Ellis
67,>Zig Ziglar
68,>Paul Auster
69,>Michele Bachmann
70,>Tim Tebow
71,>David Hume
72,>Shakira
73,>Thomas Moore
74,>Yoko Ono
75,>William Hazlitt
76,>Howard Nemerov
77,>John Salley
78,>John Keats
79,>Jerry West
80,">Joseph Smith, Jr."
81,>George Burns
82,>Julia Stiles
83,>Jonathan Safran Foer
84,>Octavio Paz
85,>Robert H. Schuller
86,>Anthony Bourdain
87,>Petrarch
88,>Evangeline Lilly
89,>Amy Purdy
90,>Afrika Bambaataa
91,>Colin Hay
92,>George Bernard Shaw
93,>Jonathan Brandis
94,>Barbara Bush
95,>Joel Osteen
96,>John Irving
97,>Blake Shelton
98,>Trent Reznor
99,>Thomas Carlyle
100,">Oliver Wendell Holmes, Sr."
101,>Sarah McLachlan
102,>Lee Iacocca
103,>Tyler Perry
104,>Woody Hayes
105,>Mandy Moore
106,>Felix Dennis
107,>John Gay
108,>Richard Bach
109,>Henry David Thoreau
110,>Stefanie Powers
111,>Trish Stratus
112,>Marjane Satrapi
113,>Gary Vaynerchuk
114,>Pearl Bailey
115,>Jane Harrison
116,>Nan Fairbrother
117,>Joanna Lumley
118,>Woodrow Wilson
119,>Harvey Mackay
120,>Barbara Fialho
121,>Peter Benchley
122,>Anton du Beke
123,>Jean de La Fontaine
124,>Eric Schneiderman
125,>Margaret Thatcher
126,>Eliezer Yudkowsky
127,>Evangeline Lilly
128,>Alton Brown
129,>Naveen Jain
130,>Loretta Lynn
131,>Ted Turner
132,>Albert Einstein
133,>Kinky Friedman
134,>Kanye West
135,>John McCarthy
136,>Salma Hayek
137,>Stephanie Klein
138,>Charles de Lint
139,>Epicurus
140,>Gloria Steinem
141,>Neil Peart
142,>James F. Byrnes
143,>Susan Orlean
144,>Lucy Maud Montgomery
145,>Finley Peter Dunne
146,>Muhammad Ali Jinnah
147,>Euripides
148,>Wilson Mizner
149,>Carl Sagan
150,>Lady Gaga
151,>Walter Lippmann
152,>Apollonius of Tyana
153,>Kate Moss
154,>Bob Feller
155,>Giada De Laurentiis
156,>Aleksander Kwasniewski
157,>Henry Selick
158,>Oscar Wilde
159,>Isaac D'Israeli
160,>Andy Murray
161,>William Hague
162,>Louise L. Hay
163,>Walter Winchell
164,>Melina Kanakaredes
165,>Dean Ornish
166,>Monte Irvin
167,>Mickalene Thomas
168,>Dong Dong
169,>Jose Ortega y Gasset
170,>Christina Milian
171,>Dave Barry
172,>Alfred Austin
173,>George Packer
174,>Henry Rollins
175,>Marvin Ammori
176,>Marcus Tullius Cicero
177,>Percy Bysshe Shelley
178,>Joyce Banda
179,>Bruce Dickinson
180,>Arthur Ashe
181,>Suzanne Brockmann
182,>Nelson Mandela
183,>James Heckman
184,>G. Willow Wilson
185,>Billie Jean King
186,>Bill Watterson
187,>Jean-Jacques Rousseau
188,>William Shakespeare
189,>Daniel Inouye
190,>Saint Ignatius
191,>River Phoenix
192,>Alec Baldwin
193,>Tyler Florence
194,>Amitabh Bachchan
195,>Cherie Lunghi
196,>Dave Matthews
197,>Joanna Krupa
198,>Howard Gardner
199,>Yair Lapid
200,>Sebastian Thrun
201,>Walter Lippmann
202,>Yves Chauvin
203,>Alan Alda
204,>Joan Rivers
205,>Anthony Bourdain
206,>Sandra Tsing Loh
207,>Peter Ustinov
208,>Timothy Geithner
209,>Tecumseh
210,>Olivia Williams
211,>Kin Hubbard
212,>Robert Baden-Powell
213,>Henry David Thoreau
214,>Martin Henderson
215,>Pope John Paul II
216,>Mickey Hart
217,>Mike Birbiglia
218,>Napoleon Hill
219,>Elizabeth Olsen
220,>Robert Blair
221,>Pablo Neruda
222,>Jay Griffiths
223,>Walter Scott
224,>Giada De Laurentiis
225,>Celine Dion
226,>David Gest
227,>Donald Trump
228,>Nikos Kazantzakis
229,>Shinzo Abe
230,>Thomas S. Monson
231,>Martha Beck
232,>Jerry Lewis
233,>Laura Harring
234,>John Caudwell
235,>Harvey S. Firestone
236,>Dale Carnegie
237,>Slavoj Zizek
238,>Vincent Bugliosi
239,>Henry David Thoreau
240,>Ben Roethlisberger
241,>Adam Smith
242,>Laura Wasser
243,>Anais Nin
244,>John Glenn
245,>Charles Darwin
246,>Rumi
247,>Tyler Perry
248,>Winnie Holzman
249,>Vitruvius
250,>Kevin DeYoung
251,>Aesop
252,>Ray Kroc
253,>Elon Musk
254,>Erma Bombeck
255,>St. Jerome
256,>John Wooden
257,>Paul Theroux
258,>Pauline Phillips
259,>Diane English
260,>Bill Watterson
261,>Carnie Wilson
262,>Frank A. Clark
263,>John Muir
264,>Confucius
265,>Zac Brown
266,>Coco Chanel
267,>Bryant H. McGill
268,>Lyndon B. Johnson
269,>Suze Orman
270,>Vincent Van Gogh
271,>Edmund Hillary
272,>Joshua Sasse
273,>Joel Edgerton
274,>Simon Cowell
275,>Brett Ratner
276,>Bidzina Ivanishvili
277,>Robert Kraft
278,>Deborah Tannen
279,>Lil Wayne
280,>Sam Ewing
281,>Guy Fieri
282,>Woodrow Wilson
283,>Mauricio Macri
284,>Steve Jobs
285,>Mindy Kaling
286,>John Burroughs
287,>Godfrey Winn
288,>Stendhal
289,>Julia Roberts
290,>Charles Kettering
291,>Simone de Beauvoir
292,>Tommy Lee
293,>Voltaire
294,>Saint Basil
295,>James Comey
296,>Zendaya
297,>Penn Jillette
298,>Kate Winslet
299,>Ethan Allen
300,>Marilyn vos Savant
301,>Euripides
302,>Jamie Oliver
303,>Louis C. K.
304,>Vivek Wadhwa
305,>Ralph Waldo Emerson
306,>Jane Austen
307,>Wendi Deng Murdoch
308,>Rita Rudner
309,>Michael Pollan
310,>David Duchovny
311,>Max Schmeling
312,>Dieter F. Uchtdorf
313,>Estelle
314,>Martin Lawrence
315,>Aldous Huxley
316,>Audrey Hepburn
317,>Jean Paul
318,>Lucas Grabeel
319,>Alexander Pope
320,>Virat Kohli
321,>Michelle Obama
322,>Tionne Watkins
323,>Giada De Laurentiis
324,>Henry Petroski
